product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Granola Coconut Cashew & Almond,Crownfield,c,United Kingdom,15.5,7.6,0.05,2.2,960.0
Chocodays,Hacendado,c,Spain,25.0,7.6,0.27,1.6,372.0
Oats 'N Honey Granola Bars,Nature Valley,d,France,26.1904761904762,4.76190476190476,0.833333333333333,2.38095238095238,452.380952380952
Copos tostados de trigo integral y arroz con chocolate,Hacendado,c,Portugal,20.0,9.1,0.29,3.9,397.0
Corn flakes sans sucres ajoutés,Terres et Céréales bio,b,Belgique,0.5,3.1,0.01,0.1,387.0
Flocons d'avoine,Auchan,a,France,0.7,10.0,0.02,1.3,372.0
Cruesli Chocolate,PepsiCo,c,France,16.3,10.0,0.4725,4.9,455.0
Organic Jumbo Porridge Oats,Kavanagh's,a,España,0.25,9.75,5e-05,1.0,360.0
Muesli,Leclerc,c,France,24.0,7.5,0.125,3.9,439.0
"Céréales Pétales de blé chocolat bio, sachet 375g",U,a,France,19.0,8.5,0.01,0.8,366.0
Croustillant 3 noix,Carrefour BIO,b,France,17.0,6.6,0.03,1.9,455.0
Muesli floconneux,Bio Village,a,en:fr,14.0,9.2,0.01,1.0,359.0
Oatflakes,Santé,a,France,0.9,6.9,0.0,1.3,375.0
Choco crisp chocolat,Grillon d'or,c,France,18.0,5.2,0.02,1.5,377.0
Crunchy Chocolat noir intense,Carrefour,c,Belgique,19.0,9.0,0.1,3.8,441.0
Special K dark chocolate,Special K,d,Spain,17.0,6.0,1.58333333333333,3.33333333333333,423.333333333333
Oreo O's,OREO,d,France,27.0,3.9,0.56,0.8,382.0
Flocons d'avoine SANS GLUTEN - 500g,Grillon d'or,a,France,0.9,10.0,0.0,1.3,375.0
Shreddies,Nestle,b,en:gb,13.0,12.0,0.72,0.3,364.0
Miel pops loops,Kellogg's,c,France,22.0,7.5,0.64,0.7,396.0
Granola Honey and Seed,Lidl,d,Irlande,17.3333333333333,5.55555555555556,0.622222222222222,2.66666666666667,435.555555555556
Alpen Original Muesli,Weetabix,c,Ireland,21.0,7.7,0.25,0.9,374.0
Kölln Haferflocken Blütenzarte Haferflocken Je 500-g-Packung 100 % Vollkorn-Hafer 0.99€ 2024 500g 1.19€ 1kg 2.38€,Kölln,a,Deutschland,1.2,27.5,0.0,3.25,360.0
Simply Fruity muesli,Dorset cereals,b,United Kingdom,20.0,7.33333333333333,0.0444444444444444,0.666666666666667,348.888888888889
Soja et chocolat Protéiné,Favrichon,c,Belgium,7.2,9.6,0.13,3.4,409.0
Pumpkin Seed + Flax Granola,Nature's Path Organic,c,France,18.1818181818182,7.27272727272727,0.204545454545455,2.72727272727273,472.727272727273
Muesli coustillant,Crownfield,d,France,21.9,7.7,0.65,6.5,451.0
Crosti Griffs choco,Favrichon,b,France,17.0,8.3,0.17,2.2,385.0
Wheat Biscuits,Tesco,a,France,4.4,10.0,0.3,0.6,357.894736842105
Protein granola,Bio&me,a,United Kingdom,12.3333333333333,19.0,0.1625,1.66666666666667,403.0
LOW SUGAR Granola ORIGINAL,CROWNFIELD,a,Ireland,3.11111111111111,7.55555555555556,0.02,3.33333333333333,522.222222222222
Muesli croustillant avoine blé et riz,Favrichon,b,en:fr,15.0,7.6,0.01,1.1,422.0
